model_name,display_name,design,term,coef,se,tvalue,pvalue,ci_lower,ci_upper
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Constant,-54.7446408933891,247.19637813260343,-0.22146214805793982,0.8247326063395244,-539.2406391420365,429.7513573552582
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Age,1.7425972998033024,1.5311564845834498,1.138092231165631,0.2550819717839371,-1.2584142646752177,4.743608864281822
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Weight,-0.9876452585729275,1.2063206255380128,-0.8187253352585618,0.4129431384566685,-3.3519902384352616,1.3766997212894063
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Karnofsky score,0.6637819881618634,2.257644345912933,0.2940153037671871,0.7687462092368598,-3.761119619727973,5.0886835960517
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,CD4 count,-0.04936446196092621,0.15599747428641686,-0.31644398210121866,0.7516655378606087,-0.35511389324151643,0.25638496931966404
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,CD8 count,0.02924102179980381,0.050606211120187254,0.5778148798841672,0.5633891081447234,-0.06994532938979359,0.1284273729894012
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Gender,-1.8715639096020418,53.00132875179676,-0.035311641305570005,0.9718312407013482,-105.75225939589096,102.00913157668687
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Homosexual activity,-15.147349022174335,44.370048428568275,-0.34138680390579657,0.7328124080268162,-102.11104593446618,71.8163478901175
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Race,43.402666890887204,30.43300323020253,1.4261710079212042,0.1538189860933536,-16.244923381700886,103.0502571634753
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Symptomatic status,-4.943824069465146,34.36572676522308,-0.1438591449917516,0.8856116976017516,-72.29941083184656,62.41176269291626
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Intravenous drug use,29.542455566840246,43.064764904574304,0.6860006233007967,0.4927127153532872,-54.86293264880989,113.94784378249038
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Haemophilia,-24.15345863684417,60.21251788623225,-0.4011368314223399,0.6883193851748035,-142.1678251123332,93.86090783864486
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,Antiretroviral history,12.951849166044086,26.752960087673873,0.48412770488195456,0.628295240349483,-39.48298908563424,65.38668741772241
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,CD4 count 20± 5 weeks,0.03980673704415305,0.12796865984817046,0.3110662961648743,0.755750222704016,-0.21100722740811795,0.29062070149642405
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",All covariates,CD8 count 20± 5 weeks,-0.029217597521186137,0.04901791312302715,-0.5960595965775741,0.5511354142144924,-0.12529094183963263,0.06685574679726036
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",Age only,Constant,-48.798865475861795,52.01617966182717,-0.9381478184887453,0.34816845044662015,-150.74870422640788,53.1509732746843
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",Age only,Age,1.5121765954053674,1.4401035989492046,1.0500470914097793,0.29369646233889146,-1.3103745925415877,4.334727783352323
